Name,RU_kwai
Type,Campaign
Frequency,One time
Date range,Custom date range
Dates,"Aug 1, 2017-Aug 29, 2017"
Account,Day,Campaign,Campaign ID,Conversions,All conv.,Cost
Kwai_Pro_EliAds,2017-08-26,Kwai_RU_S1_MAI,873203752,6.0,12.0,2.36
Kwai_Pro_EliAds,2017-08-28,Kwai_RU_V2,892276772,100.0,144.0,18.35
Kwai_Pro_EliAds,2017-08-17,Kwai_RU_V2,892276772,3.0,9.0,1.64
Kwai_Pro_EliAds,2017-08-25,Kwai_RU_V2,892276772,42.0,63.0,4.65
Kwai_Pro_EliAds,2017-08-11,Kwai_RU_S1_MAI,873203752,1.0,1.0,0.79
Kwai_Pro_EliAds,2017-08-19,Kwai_RU_S1_MAI,873203752,6.0,12.0,2.65
Kwai_Pro_EliAds,2017-08-01,Kwai_RU_S1_MAI,873203752,2.0,3.0,0.86
Kwai_Pro_EliAds,2017-08-04,Kwai_RU_V2,892276772,4.0,9.0,0.80
Kwai_Pro_EliAds,2017-08-07,Kwai_RU_S1_MAI,873203752,0.0,0.0,0.45
Kwai_Pro_EliAds,2017-08-03,Kwai_RU_S1_MAI,873203752,0.0,0.0,0.66
Kwai_Pro_EliAds,2017-08-06,Kwai_RU_S1_MAI,873203752,2.0,3.0,0.97
Kwai_Pro_EliAds,2017-08-20,Kwai_RU_V2,892276772,4.0,4.0,0.38
Kwai_Pro_EliAds,2017-08-27,Kwai_RU_V2,892276772,65.0,95.0,8.22
Kwai_Pro_EliAds,2017-08-17,Kwai_RU_S1_MAI,873203752,12.0,22.0,5.17
Kwai_Pro_EliAds,2017-08-13,Kwai_RU_V2,892276772,6.0,17.0,2.03
Kwai_Pro_EliAds,2017-08-13,Kwai_RU_S1_MAI,873203752,3.0,6.0,0.84
Kwai_Pro_EliAds,2017-08-29,Kwai_RU_V2,892276772,197.0,314.0,53.71
Kwai_Pro_EliAds,2017-08-08,Kwai_RU_S1_MAI,873203752,1.0,2.0,1.09
Kwai_Pro_EliAds,2017-08-21,Kwai_RU_V2,892276772,2.0,2.0,0.44
Kwai_Pro_EliAds,2017-08-12,Kwai_RU_V2,892276772,1.0,13.0,2.04
Kwai_Pro_EliAds,2017-08-15,Kwai_RU_V2,892276772,24.0,77.0,6.89
Kwai_Pro_EliAds,2017-08-26,Kwai_RU_V2,892276772,44.0,58.0,5.58
Kwai_Pro_EliAds,2017-08-02,Kwai_RU_V2,892276772,4.0,24.0,2.42
Kwai_Pro_EliAds,2017-08-18,Kwai_RU_V2,892276772,11.0,16.0,0.88
Kwai_Pro_EliAds,2017-08-07,Kwai_RU_V2,892276772,1.0,3.0,0.50
Kwai_Pro_EliAds,2017-08-10,Kwai_RU_V2,892276772,2.0,14.0,1.00
Kwai_Pro_EliAds,2017-08-24,Kwai_RU_S1_MAI,873203752,1.0,5.0,3.04
Kwai_Pro_EliAds,2017-08-14,Kwai_RU_V2,892276772,19.0,77.0,7.42
Kwai_Pro_EliAds,2017-08-22,Kwai_RU_S1_MAI,873203752,7.0,15.0,3.86
Kwai_Pro_EliAds,2017-08-06,Kwai_RU_V2,892276772,2.0,8.0,1.76
Kwai_Pro_EliAds,2017-08-15,Kwai_RU_S1_MAI,873203752,6.0,11.0,2.09
Kwai_Pro_EliAds,2017-08-20,Kwai_RU_S1_MAI,873203752,8.0,16.0,3.96
Kwai_Pro_EliAds,2017-08-10,Kwai_RU_S1_MAI,873203752,2.0,4.0,0.54
Kwai_Pro_EliAds,2017-08-12,Kwai_RU_S1_MAI,873203752,4.0,7.0,0.94
Kwai_Pro_EliAds,2017-08-19,Kwai_RU_V2,892276772,3.0,3.0,0.30
Kwai_Pro_EliAds,2017-08-27,Kwai_RU_S1_MAI,873203752,6.0,12.0,3.81
Kwai_Pro_EliAds,2017-08-22,Kwai_RU_V2,892276772,12.0,16.0,1.43
Kwai_Pro_EliAds,2017-08-28,Kwai_RU_S1_MAI,873203752,1.0,3.0,1.43
Kwai_Pro_EliAds,2017-08-02,Kwai_RU_S1_MAI,873203752,3.0,6.0,1.14
Kwai_Pro_EliAds,2017-08-08,Kwai_RU_V2,892276772,1.0,5.0,0.74
Kwai_Pro_EliAds,2017-08-23,Kwai_RU_S1_MAI,873203752,7.0,16.0,4.10
Kwai_Pro_EliAds,2017-08-09,Kwai_RU_V2,892276772,13.0,48.0,4.79
Kwai_Pro_EliAds,2017-08-16,Kwai_RU_V2,892276772,7.0,19.0,2.33
Kwai_Pro_EliAds,2017-08-16,Kwai_RU_S1_MAI,873203752,6.0,11.0,1.88
Kwai_Pro_EliAds,2017-08-24,Kwai_RU_V2,892276772,2.0,2.0,0.28
Kwai_Pro_EliAds,2017-08-25,Kwai_RU_S1_MAI,873203752,5.0,11.0,3.06
Kwai_Pro_EliAds,2017-08-11,Kwai_RU_V2,892276772,8.0,33.0,3.11
Kwai_Pro_EliAds,2017-08-04,Kwai_RU_S1_MAI,873203752,3.0,6.0,0.73
Kwai_Pro_EliAds,2017-08-23,Kwai_RU_V2,892276772,34.0,45.0,2.42
Kwai_Pro_EliAds,2017-08-14,Kwai_RU_S1_MAI,873203752,6.0,10.0,1.40
Kwai_Pro_EliAds,2017-08-29,Kwai_RU_S1_MAI,873203752,3.0,7.0,1.80
Kwai_Pro_EliAds,2017-08-18,Kwai_RU_S1_MAI,873203752,4.0,10.0,2.99
Kwai_Pro_EliAds,2017-08-05,Kwai_RU_V2,892276772,1.0,6.0,1.16
Kwai_Pro_EliAds,2017-08-05,Kwai_RU_S1_MAI,873203752,0.0,0.0,0.49
Kwai_Pro_EliAds,2017-08-01,Kwai_RU_V2,892276772,488.0,"2,126.0",304.46
Kwai_Pro_EliAds,2017-08-03,Kwai_RU_V2,892276772,1.0,13.0,1.03
Kwai_Pro_EliAds,2017-08-09,Kwai_RU_S1_MAI,873203752,3.0,6.0,0.87
Kwai_Pro_EliAds,2017-08-21,Kwai_RU_S1_MAI,873203752,6.0,13.0,5.25
Kwai_Pro_EliAds,2017-08-07,Kwai_RU_V1,892597578,72.0,153.0,72.77
Kwai_Pro_EliAds,2017-08-04,Kwai_RU_V1,892597578,82.0,162.0,88.57
Kwai_Pro_EliAds,2017-08-25,Kwai_RU_V1,892597578,36.0,74.0,27.62
Kwai_Pro_EliAds,2017-08-11,Kwai_RU_V1,892597578,60.0,130.0,30.67
Kwai_Pro_EliAds,2017-08-02,Kwai_RU_V1,892597578,0.0,0.0,0.08
Kwai_Pro_EliAds,2017-08-23,Kwai_RU_V1,892597578,24.0,41.0,8.56
Kwai_Pro_EliAds,2017-08-20,Kwai_RU_V1,892597578,92.0,177.0,41.74
Kwai_Pro_EliAds,2017-08-19,Kwai_RU_V1,892597578,23.0,45.0,7.90
Kwai_Pro_EliAds,2017-08-13,Kwai_RU_V1,892597578,113.0,222.0,69.13
Kwai_Pro_EliAds,2017-08-21,Kwai_RU_V1,892597578,122.0,241.0,74.43
Kwai_Pro_EliAds,2017-08-18,Kwai_RU_V1,892597578,73.0,131.0,27.96
Kwai_Pro_EliAds,2017-08-03,Kwai_RU_V1,892597578,11.0,26.0,14.20
Kwai_Pro_EliAds,2017-08-05,Kwai_RU_V1,892597578,49.0,99.0,45.64
Kwai_Pro_EliAds,2017-08-06,Kwai_RU_V1,892597578,25.0,55.0,19.03
Kwai_Pro_EliAds,2017-08-10,Kwai_RU_V1,892597578,51.0,100.0,27.46
Kwai_Pro_EliAds,2017-08-24,Kwai_RU_V1,892597578,53.0,100.0,30.14
Kwai_Pro_EliAds,2017-08-22,Kwai_RU_V1,892597578,52.0,105.0,35.12
Kwai_Pro_EliAds,2017-08-29,Kwai_RU_V1,892597578,41.0,80.0,26.84
Kwai_Pro_EliAds,2017-08-16,Kwai_RU_V1,892597578,52.0,105.0,28.72
Kwai_Pro_EliAds,2017-08-08,Kwai_RU_V1,892597578,217.0,411.0,161.33
Kwai_Pro_EliAds,2017-08-17,Kwai_RU_V1,892597578,46.0,90.0,29.84
Kwai_Pro_EliAds,2017-08-01,Kwai_RU_V1,892597578,0.0,0.0,0.14
Kwai_Pro_EliAds,2017-08-09,Kwai_RU_V1,892597578,255.0,476.0,179.06
Kwai_Pro_EliAds,2017-08-15,Kwai_RU_V1,892597578,88.0,189.0,53.74
Kwai_Pro_EliAds,2017-08-27,Kwai_RU_V1,892597578,82.0,136.0,38.52
Kwai_Pro_EliAds,2017-08-14,Kwai_RU_V1,892597578,82.0,182.0,66.72
Kwai_Pro_EliAds,2017-08-26,Kwai_RU_V1,892597578,9.0,19.0,3.98
Kwai_Pro_EliAds,2017-08-12,Kwai_RU_V1,892597578,77.0,150.0,37.39
Kwai_Pro_EliAds,2017-08-28,Kwai_RU_V1,892597578,85.0,155.0,43.82
Kwai_Pro_EliAds,2017-08-19,Kwai_RU_D1,874401731,0.0,0.0,0.06
Kwai_Pro_EliAds,2017-08-25,Kwai_RU_D1,874401731,0.0,0.0,0.26
Kwai_Pro_EliAds,2017-08-28,Kwai_RU_D1,874401731,0.0,0.0,0.42
Kwai_Pro_EliAds,2017-08-23,Kwai_RU_U1,874062615,64.0,141.0,24.80
Kwai_Pro_EliAds,2017-08-16,Kwai_RU_D1,874401731,0.0,0.0,0.13
Kwai_Pro_EliAds,2017-08-25,Kwai_RU_U1,874062615,118.0,251.0,55.20
Kwai_Pro_EliAds,2017-08-28,Kwai_RU_U1,874062615,122.0,268.0,59.40
Kwai_Pro_EliAds,2017-08-19,Kwai_RU_U1,874062615,27.0,59.0,13.07
Kwai_Pro_EliAds,2017-08-03,Kwai_RU_U1,874062615,111.0,226.0,85.25
Kwai_Pro_EliAds,2017-08-13,Kwai_RU_U1,874062615,212.0,420.0,145.97
Kwai_Pro_EliAds,2017-08-17,Kwai_RU_U1,874062615,76.0,132.0,36.17
Kwai_Pro_EliAds,2017-08-20,Kwai_RU_U1,874062615,24.0,53.0,11.77
Kwai_Pro_EliAds,2017-08-15,Kwai_RU_U1,874062615,167.0,327.0,95.27
Kwai_Pro_EliAds,2017-08-11,Kwai_RU_D1,874401731,0.0,0.0,0.29
Kwai_Pro_EliAds,2017-08-03,Kwai_RU_D1,874401731,0.0,0.0,0.84
Kwai_Pro_EliAds,2017-08-12,Kwai_RU_D1,874401731,0.0,0.0,0.06
Kwai_Pro_EliAds,2017-08-07,Kwai_RU_U1,874062615,474.0,893.0,314.23
Kwai_Pro_EliAds,2017-08-06,Kwai_RU_U1,874062615,282.0,548.0,193.29
Kwai_Pro_EliAds,2017-08-08,Kwai_RU_D1,874401731,0.0,0.0,0.09
Kwai_Pro_EliAds,2017-08-18,Kwai_RU_U1,874062615,76.0,151.0,37.83
Kwai_Pro_EliAds,2017-08-06,Kwai_RU_D1,874401731,0.0,0.0,0.18
Kwai_Pro_EliAds,2017-08-07,Kwai_RU_D1,874401731,1.0,3.0,0.12
Kwai_Pro_EliAds,2017-08-22,Kwai_RU_U1,874062615,130.0,289.0,63.53
Kwai_Pro_EliAds,2017-08-29,Kwai_RU_D1,874401731,0.0,0.0,0.22
Kwai_Pro_EliAds,2017-08-26,Kwai_RU_D1,874401731,1.0,2.0,0.47
Kwai_Pro_EliAds,2017-08-10,Kwai_RU_U1,874062615,369.0,682.0,166.34
Kwai_Pro_EliAds,2017-08-04,Kwai_RU_U1,874062615,132.0,254.0,82.44
Kwai_Pro_EliAds,2017-08-26,Kwai_RU_U1,874062615,119.0,266.0,59.00
Kwai_Pro_EliAds,2017-08-04,Kwai_RU_D1,874401731,0.0,2.0,0.82
Kwai_Pro_EliAds,2017-08-01,Kwai_RU_U1,874062615,52.0,113.0,39.72
Kwai_Pro_EliAds,2017-08-13,Kwai_RU_D1,874401731,0.0,0.0,0.21
Kwai_Pro_EliAds,2017-08-21,Kwai_RU_D1,874401731,0.0,0.0,0.04
Kwai_Pro_EliAds,2017-08-16,Kwai_RU_U1,874062615,213.0,425.0,119.20
Kwai_Pro_EliAds,2017-08-15,Kwai_RU_D1,874401731,0.0,0.0,0.08
Kwai_Pro_EliAds,2017-08-20,Kwai_RU_D1,874401731,0.0,0.0,0.04
Kwai_Pro_EliAds,2017-08-02,Kwai_RU_U1,874062615,95.0,196.0,88.80
Kwai_Pro_EliAds,2017-08-24,Kwai_RU_U1,874062615,30.0,65.0,13.94
Kwai_Pro_EliAds,2017-08-27,Kwai_RU_U1,874062615,67.0,153.0,24.27
Kwai_Pro_EliAds,2017-08-02,Kwai_RU_D1,874401731,0.0,1.0,0.72
Kwai_Pro_EliAds,2017-08-05,Kwai_RU_D1,874401731,0.0,0.0,0.60
Kwai_Pro_EliAds,2017-08-10,Kwai_RU_D1,874401731,0.0,0.0,0.06
Kwai_Pro_EliAds,2017-08-22,Kwai_RU_D1,874401731,0.0,1.0,0.13
Kwai_Pro_EliAds,2017-08-29,Kwai_RU_U1,874062615,158.0,340.0,58.39
Kwai_Pro_EliAds,2017-08-14,Kwai_RU_D1,874401731,0.0,0.0,0.25
Kwai_Pro_EliAds,2017-08-05,Kwai_RU_U1,874062615,192.0,370.0,133.84
Kwai_Pro_EliAds,2017-08-18,Kwai_RU_D1,874401731,0.0,0.0,0.23
Kwai_Pro_EliAds,2017-08-09,Kwai_RU_D1,874401731,0.0,0.0,0.09
Kwai_Pro_EliAds,2017-08-24,Kwai_RU_D1,874401731,0.0,0.0,0.08
Kwai_Pro_EliAds,2017-08-08,Kwai_RU_U1,874062615,"1,517.0","2,806.0","1,136.05"
Kwai_Pro_EliAds,2017-08-11,Kwai_RU_U1,874062615,375.0,677.0,240.03
Kwai_Pro_EliAds,2017-08-21,Kwai_RU_U1,874062615,66.0,150.0,38.36
Kwai_Pro_EliAds,2017-08-14,Kwai_RU_U1,874062615,309.0,614.0,174.80
Kwai_Pro_EliAds,2017-08-12,Kwai_RU_U1,874062615,189.0,364.0,105.70
Kwai_Pro_EliAds,2017-08-01,Kwai_RU_D1,874401731,0.0,0.0,1.62
Kwai_Pro_EliAds,2017-08-27,Kwai_RU_D1,874401731,1.0,2.0,0.76
Kwai_Pro_EliAds,2017-08-09,Kwai_RU_U1,874062615,715.0,"1,334.0",520.75
Total, --, --, --, --, --,"5,937.39"
